1531357250 741438 SNAPSHOT ni1901 | 111370 111400 | 194 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23314 M 2582429620 66908
1531357251 033180 SNAPSHOT ni1901 | 111370 111380 | 194 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23314 M 2582429620 66908
1531357251 485302 SNAPSHOT ni1901 | 111370 111380 | 175 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23352 M 2586661680 66940
1531357252 522183 SNAPSHOT ni1901 | 111380 111420 |   2 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23402 M 2592230400 66932
1531357253 854180 SNAPSHOT ni1901 | 111370 111390 | 164 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23408 M 2592898680 66936
1531357254 396192 SNAPSHOT ni1901 | 111380 111420 |  10 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23418 M 2594012520 66942
1531357254 677234 SNAPSHOT ni1901 | 111380 111430 |  10 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23418 M 2594012520 66942
1531357255 109180 SNAPSHOT ni1901 | 111380 111400 |   9 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23422 M 2594458080 66944
1531357255 990255 SNAPSHOT ni1901 | 111390 111400 |   2 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 23432 M 2595572220 66944
1531357256 454240 SNAPSHOT ni1901 | 111370 111440 | 161 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357257 256189 SNAPSHOT ni1901 | 111380 111420 |  12 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357257 802181 SNAPSHOT ni1901 | 111380 111420 |  12 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357258 264238 SNAPSHOT ni1901 | 111380 111420 |   3 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357258 332180 SNAPSHOT ni1901 | 111380 111420 |   1 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357258 876178 SNAPSHOT ni1901 | 111380 111420 |   3 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357259 408180 SNAPSHOT ni1901 | 111390 111420 |   2 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357259 753237 SNAPSHOT ni1901 | 111390 111420 |   2 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357260 571178 SNAPSHOT ni1901 | 111380 111400 |   1 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357261 722269 SNAPSHOT ni1901 | 111380 111400 |   1 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357262 186211 SNAPSHOT ni1901 | 111370 111380 | 161 x   7 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23438 M 2596240620 66938
1531357262 432246 SNAPSHOT ni1901 | 111370 111450 | 163 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23460 M 2598691140 66926
1531357262 735237 SNAPSHOT ni1901 | 111370 111440 | 161 x  13 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23460 M 2598691140 66926
1531357262 970182 SNAPSHOT ni1901 | 111380 111420 |  10 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23460 M 2598691140 66926
1531357264 077238 SNAPSHOT ni1901 | 111380 111400 |   1 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23460 M 2598691140 66926
1531357264 662239 SNAPSHOT ni1901 | 111370 111380 | 161 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23462 M 2598913900 66924
1531357265 496241 SNAPSHOT ni1901 | 111370 111380 | 161 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23462 M 2598913900 66924
1531357266 262235 SNAPSHOT ni1901 | 111370 111380 | 161 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23462 M 2598913900 66924
1531357266 523176 SNAPSHOT ni1901 | 111370 111380 | 141 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23502 M 2603368700 66954
1531357266 815238 SNAPSHOT ni1901 | 111370 111380 | 130 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23526 M 2606041580 66978
1531357267 555255 SNAPSHOT ni1901 | 111370 111380 | 122 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23542 M 2607823500 66992
1531357267 715181 SNAPSHOT ni1901 | 111370 111380 | 107 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23572 M 2611164600 67004
1531357268 347421 SNAPSHOT ni1901 | 111370 111380 | 104 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23578 M 2611832820 67004
1531357269 734184 SNAPSHOT ni1901 | 111370 111380 |  96 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23594 M 2613614740 67016
1531357270 183179 SNAPSHOT ni1901 | 111370 111380 |  96 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23594 M 2613614740 67016
1531357270 513181 SNAPSHOT ni1901 | 111370 111380 |  93 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23606 M 2614951240 67020
1531357270 921177 SNAPSHOT ni1901 | 111400 111440 |   4 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23622 M 2616733600 67016
1531357271 290182 SNAPSHOT ni1901 | 111400 111430 |   3 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23624 M 2616956400 67016
1531357271 922188 SNAPSHOT ni1901 | 111400 111430 |   3 x   7 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23624 M 2616956400 67016
1531357272 558187 SNAPSHOT ni1901 | 111380 111440 |   1 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23660 M 2620966880 67006
1531357273 617191 SNAPSHOT ni1901 | 111400 111410 |   1 x   6 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23670 M 2622081180 67002
1531357273 985180 SNAPSHOT ni1901 | 111410 111450 |   1 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 23682 M 2623418100 67002
1531357274 314178 SNAPSHOT ni1901 | 111420 111450 |   1 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 23682 M 2623418100 67002
1531357274 568239 SNAPSHOT ni1901 | 111410 111420 |   1 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 23682 M 2623418100 67002
